項次,事業單位,行業別,災害類型,罹災人數,業主,工程名稱,場所-肇災處,地址,勞動檢查機構,發生日期,備註
1,吳OO,F營造業-4340建物完工裝修工程業,墜落、滾落,1,主富服裝股份有限公司,基隆東岸109年4-6月雜項修繕工程,1樓造型天花板上方墜落至地面,基隆市仁愛區仁二路236號,勞動部職業安全衛生署北區職業安全衛生中心,110/1/23,
2,高田營造有限公司,F營造業-4100建築工程業,墜落、滾落,1,鉅興建設開發股份有限公司,鉅興建設常威三期住宅新建工程,新竹縣湖口鄉維東六街與維東三路工地3樓,新竹縣湖口鄉維東六街與維東三路,勞動部職業安全衛生署北區職業安全衛生中心,110/1/8,
3,宏田鋼鐵有限公司,E用水供應及污染整治業-3830資源回收處理業,被撞,1,-,-,廢家電存放區及廢塑膠容器存放區前方通道遭撞擊,新竹縣竹北市沿河街72號,勞動部職業安全衛生署北區職業安全衛生中心,110/1/23,
4,慶霖營造有限公司,F營造業-4100建築工程業,溺斃,1,基隆市政府,基隆市信義國小老舊校舍整建暨地下停車場新建工程,地下2樓筏基坑,基隆市信義區仁二路137巷口,勞動部職業安全衛生署北區職業安全衛生中心,110/3/3,
5,謙伸工業股份有限公司,C製造業-2599未分類其他金屬製品製造業,物體倒塌、崩塌,1,-,-,-,彰化縣鹿港鎮海埔里工業東四路17號,勞動部職業安全衛生署中區職業安全衛生中心,110/2/24,
6,津谷食品股份有限公司埤頭廠,C製造業-0899未分類其他食品製造業,被夾、被捲,1,-,-,津谷食品股份有限公司埤頭廠,彰化縣埤頭鄉埤頭村斗苑東路525號,勞動部職業安全衛生署中區職業安全衛生中心,110/1/5,
7,何OO,F營造業-4331機電、電信及電路設備安裝業,墜落、滾落,1,陳永華（即生活家商行）,水塔安裝工程,生活家商行2樓置物平台,彰化縣彰化市三竹路280號,勞動部職業安全衛生署中區職業安全衛生中心,110/4/1,
8,凱鴻鋼鐵股份有限公司,C製造業-2599未分類其他金屬製品製造業,物體飛落,1,東鋼鋼結構股份有限公司雲林廠,型鋼開槽加工機檢查及掃除作業,東鋼鋼結構股份有限公司雲林廠I廠房,雲林縣褒忠鄉有才村有才路1之21號,勞動部職業安全衛生署中區職業安全衛生中心,110/2/23,
9,洪OO(即與聰工業社),C製造業-2544金屬表面處理業,火災,1,-,-,彰化縣彰化市平和里平安街88號,-,勞動部職業安全衛生署中區職業安全衛生中心,110/3/9,
10,建鑫鑄造工業有限公司,C製造業-2412鋼鐵鑄造業,物體飛落,1,-,-,建鑫鑄造工業有限公司,彰化縣線西鄉彰濱東二路11號,勞動部職業安全衛生署中區職業安全衛生中心,110/4/10,
11,定鑫企業有限公司,F營造業-4332冷凍、空調及管道工程業,衝撞,1,建順煉鋼股份有限公司,建順煉鋼股份有限公司新建公用配管安裝工程,苗栗縣通霄鎮五北里68之4號,苗栗縣通霄鎮五北里68之4號,勞動部職業安全衛生署中區職業安全衛生中心,110/3/12,
12,日友環保科技股份有限公司(彰濱資源回收處理廠),E用水供應及污染整治業-3822有害廢棄物處理業,被撞,1,-,-,彰化縣線西鄉彰濱西五路2號,彰化縣線西鄉彰濱西五路2號,勞動部職業安全衛生署中區職業安全衛生中心,110/3/18,
13,洪志嘉,F營造業-4390其他專門營造業,墜落、滾落,1,宏諦實業股份有限公司,廠房牆面、屋頂工程,屋頂,彰化縣芳苑鄉後寮村工業路36號,勞動部職業安全衛生署中區職業安全衛生中心,110/4/6,
14,建昌橡膠企業有限公司,C製造業-2109其他橡膠製品製造業,被夾、被捲,1,-,-,破碎機之雙軸連結器,臺南市永康區鹽行里中正南路360巷13-2號,勞動部職業安全衛生署南區職業安全衛生中心,110/1/11,
15,交通部臺灣鐵路管理局高雄運務段,H運輸及倉儲業-4910鐵路運輸業,被夾、被捲,2,無,無,S2線軌道上,屏東縣潮州鎮光復路616號,勞動部職業安全衛生署南區職業安全衛生中心,110/1/18,
16,品嘉設計規劃有限公司,F營造業-4340建物完工裝修工程業,墜落、滾落,1,盧OO,盧OO住宅室內泥作工程,5樓電梯井,臺南市中西區開山路269號,勞動部職業安全衛生署南區職業安全衛生中心,110/1/27,
17,方○○(自然人),F營造業-4332冷凍、空調及管道工程業,墜落、滾落,1,陳○○,臺南市西港區大竹林56-6號倉庫水電裝修工程,臺南市西港區大竹林56-6號之1樓大型乾倉西南側角隅,臺南市西港區大竹林56-6號,勞動部職業安全衛生署南區職業安全衛生中心,110/2/10,
18,交通部臺灣鐵路管理局臺東工務段,H運輸及倉儲業-4910鐵路運輸業,被撞,2,無,無,海端火車站主正線軌道上（花蓮起118K+951.5m處）,海端火車站主正線軌道上（花蓮起118K+951.5m處）,勞動部職業安全衛生署南區職業安全衛生中心,110/2/23,
19,秋芳營造有限公司,F營造業-4100建築工程業,墜落、滾落,1,泰武建設有限公司,泰武建設1戶住宅及28戶集合住宅新建工程,屏東縣潮州鎮本工程A1棟一樓頂之B9梁處,-,勞動部職業安全衛生署南區職業安全衛生中心,110/2/26,
20,坤晟營造有限公司,F營造業-4100建築工程業,墜落、滾落,1,邰欣地堡建設有限公司,邰欣地堡NO.80住宅新建工程,本工程建築物A9戶南面3樓樓板開口部分處。,臺南市安南區永續18街旁工地,勞動部職業安全衛生署南區職業安全衛生中心,110/3/10,
21,吳OO,A農、林、漁、牧業-0200林業,墜落、滾落,1,無,無,OO縣OO里鄉OO段OO地號土地,OO縣OO里鄉OO段OO地號土地,勞動部職業安全衛生署南區職業安全衛生中心,110/4/6,
22,雲鼎電業工程股份有限公司,F營造業-4331機電、電信及電路設備安裝業,物體倒塌、崩塌,1,無,無,物料堆放場,臺南市左鎮區光和里光和1-3號,勞動部職業安全衛生署南區職業安全衛生中心,110/4/8,
23,陳○○,F營造業-4390其他專門營造業,墜落、滾落,1,楊○○,臺南市安南區溪東一街70號一樓增建部分模板組立工程,本工程1樓前方增建車庫處,臺南市安南區溪東一街70號,勞動部職業安全衛生署南區職業安全衛生中心,110/4/3,
24,興亞營造工程股份有限公司,F營造業-4100建築工程業,墜落、滾落,1,臺南市政府交通局,臺南市中西區體3地下停車場新建工程,地下室基礎大底之上下設備轉折平台處,-,勞動部職業安全衛生署南區職業安全衛生中心,110/4/12,
25,利德工程股份有限公司,F營造業-4290其他土木工程業,墜落、滾落,1,交通部公路總局西部濱海公路南區臨時工程處,台9線467K+450~468K+500(丹路外環道)改善工程,屏東縣獅子鄉本工程距P4墩柱中心東向1.5公尺之北側橋面邊緣開口處,-,勞動部職業安全衛生署南區職業安全衛生中心,110/4/28,
26,方○○(自然人),F營造業-4340建物完工裝修工程業,墜落、滾落,1,富勝拉鍊股份有限公司,排煙設備安裝工程,廠房後方貨物出入口處,臺南市新市區大社里大社579號,勞動部職業安全衛生署南區職業安全衛生中心,110/5/17,
27,林OO(即OO汽車保養所),S其他服務業-9511汽車維修業,其他交通事故,1,-,-,臺南市學甲區台84線快速道路東向5.5公里處。,臺南市學甲區台84線快速道路東向5.5公里處。,勞動部職業安全衛生署南區職業安全衛生中心,110/6/8,
28,茂森工程有限公司,F營造業-4331機電、電信及電路設備安裝業,其他交通事故,1,嘉義縣政府,109年度嘉義縣山區智慧安全警示系統建置計畫,嘉義縣梅山鄉本計畫之縣道162甲線36.5k處,-,勞動部職業安全衛生署南區職業安全衛生中心,110/6/15,
29,謝oo,N支援服務業-8129其他清潔服務業,墜落、滾落,1,松山世貿帝國大廈管理委員會,商辦大樓「A案清洗外牆」作業,大樓9樓頂墜落至4樓平台,南港區南港路三段99號,臺北市勞動檢查處,110/1/8,
30,馥餘實業股份有限公司,C製造業-0899未分類其他食品製造業,被夾、被捲,2,-,過篩機清洗,馥餘實業股份有限公司三廠3號拌料區,臺北市內湖區潭美街585號1樓,臺北市勞動檢查處,110/1/7,
31,宏有水電有限公司,F營造業-4331機電、電信及電路設備安裝業,墜落、滾落,1,東宜國際有限公司,空調工程,新北市三重區長安街67號2樓後方屋簷,新北市三重區長安街67號2樓,新北市政府勞動檢查處,110/1/6,
